grade,FRPRE_EXP_0,FRPRE_EXP_1,FRPRE_EXP_2,FRPRE_EXP_3,FRPRE_EXP_4,FRPRE_EXP_5,FRPRE_EXP_6,FRPRE_EXP_7,FRPRE_EXP_8,FRPRE_EXP_9,E2FD_TEMP,E2FD_FLOW,PFR1_TEMP,INIFD1_FLOW1,INIFD1_FLOW2,MWN_LDPE,MWW_LDPE,FSCBN_LDPE,TMAX_PFR1,TEMP_OUT,FLOW_LDPE
1,4.598529386594068e-06,4.440636574740189e-09,245195826.52345312,222023781.42150912,1481320.7128499788,1120448.2746970155,69582672.07435116,2073375279.918185,2842352957.9227443,1452369302.0599198,100,65000,170,6,1.5,28429.0751,112186.096,30.760014,282.684271,219.039795,9307.36252
1,4.024091622913853e-06,3.910284602374753e-09,203895943.95882824,235891465.3651318,1155815.9306377356,1158085.1453501775,48706260.10913013,2370470220.495384,2118463682.198275,1149013763.7388055,100,65000,170,6,1.5,37365.4357,181555.234,23.5510078,290.81498,222.239256,9769.83589
1,3.979225338175996e-06,4.3252936821724066e-09,289623190.6495398,228131957.33372405,1005775.9331121134,999912.3560739488,65437463.5235331,2412039940.2523217,2724594440.3934784,1487055549.4378748,100,65000,170,6,1.5,32032.0225,125044.204,30.8204442,283.888838,219.98039,9357.2696
1,4.4585911282274215e-06,4.037647049233729e-09,251018107.6281272,204455180.2928442,1005979.7445057348,1158735.431772699,61887586.30592077,2402874774.4608097,2638845822.0165,1169463414.5270438,100,65000,170,6,1.5,30612.2865,132440.202,26.7486657,279.741295,219.792466,9170.47297
1,3.2188292880444382e-06,3.6620351609856844e-09,225084112.12737685,261873717.456556,1046236.1710542364,1379274.103370613,67861863.93354528,2791111089.0354166,2056478363.111128,1381077154.7775712,100,65000,170,6,1.5,33326.9344,163529.219,25.9628133,296.063186,223.886046,10060.5888
1,3.614738508128875e-06,3.578170649985949e-09,241203586.29210797,298465391.8258925,1236668.3504723238,1316986.4666662328,56200750.08590819,2535128002.4363976,2083084565.2361493,1349538636.0511918,100,65000,170,6,1.5,39679.1575,208706.364,22.8060266,303.88395,226.086583,10538.3539
1,4.416852761948713e-06,3.3760057888914132e-09,205384771.4520217,219418076.5244388,1427772.883771943,1212101.1526686405,63020730.76632659,2981016920.768145,2476738611.218364,1228256037.423433,100,65000,170,6,1.5,29395.1935,122400.952,26.6420722,284.676589,221.730831,9489.16563
1,3.6652235070111214e-06,4.035784348624549e-09,251506570.6923988,224409363.0196523,1430440.918943678,1394618.0657786876,50302913.24540845,2878978713.446356,2396678794.220622,1529568758.785776,100,65000,170,6,1.5,33920.8128,174360.192,32.3063321,283.974676,220.905344,9363.49301
1,3.5949512920872688e-06,4.100759967259145e-09,283454023.379639,210294985.05605417,1173973.0503270058,1155309.1914446545,66571070.66485068,2538081313.1155195,2213467849.510112,1091533883.8010423,100,65000,170,6,1.5,28693.0366,118535.791,24.5221675,283.07075,220.297299,9310.11972
1,3.989972211757439e-06,3.5206183800971433e-09,232822660.19304007,285342586.3271335,1036430.0376506752,1143936.9346946352,67903002.10484646,2142638034.1609995,2777673678.986068,1181024307.296114,100,65000,170,6,1.5,36183.6338,163332.009,20.6192149,300.097978,224.655191,10332.701
